mean_x,mean_y,mean_z,mean_mag,std_x,std_y,std_z,std_mag,var_x,var_y,var_z,var_mag,range_x,range_y,range_z,range_mag,max_x,max_y,max_z,max_mag,min_x,min_y,min_z,min_mag,q25_mag,q50_mag,q75_mag,cv_mag,rms_x,rms_y,rms_z,rms_mag,mean_jerk,std_jerk,max_jerk,min_jerk,sma,zcr_x,zcr_y,zcr_z,zcr_mag,energy_x,energy_y,energy_z,energy_mag,dominant_power,spectral_energy,power_tremor_band,power_low_freq,power_mid_freq,power_high_freq,spectral_entropy,spectral_centroid,spectral_spread,freeze_index,locomotor_power,freeze_power,cadence_spm,step_regularity,freeze_ratio,steps_10s,numSamples,label
-0.314856813,-2.094801386,-0.37008776,2.190193071,0.190314976,0.453553501,0.404557508,0.482643002,0.03621979,0.205710778,0.163666778,0.232944267,1.16,2.343,1.742,2.517698468,0.293,-1.391,0.539,3.953999621,-0.867,-3.734,-1.203,1.436301152,1.844349479,2.127697582,2.408657925,0.220365505,0.367905698,2.143339363,0.54829894,2.242741615,326.8638218,259.5952,1527.092826,2.5,2.881279446,12,0,17,43,58.608543,1989.160269,130.173538,2177.94235,948.3535996,921211.7836,2193.450773,16904.21673,4427.79455,254.8561903,3.839153813,2.200538816,3.903581861,0.261934322,16904.21673,4427.79455,103.926097,0.049672396,0.207565733,12,433,gait_normal
-0.430579775,-2.744795506,-0.109519101,2.912583804,0.674831732,0.638533735,0.57557547,0.66525307,0.455397866,0.407725331,0.331287122,0.442561648,3.356,3.254,3.336,3.278917399,0.891,-1.328,1.156,4.643267061,-2.465,-4.582,-2.18,1.364349662,2.400875257,2.916007716,3.460110258,0.228406499,0.800497851,2.81808937,0.585902343,2.987592017,682.7898412,501.6530035,3997.124748,34.09545424,3.829235955,36,0,34,50,285.15458,3534.024326,152.760292,3971.939198,1296.099793,1723693.535,2095.242298,33186.38822,8203.918489,1101.429501,4.365774731,2.63088235,4.242283187,0.247207332,33186.38822,8203.918489,128.0898876,0.109572683,0.19820869,16,445,gait_fast
-0.632154229,-1.849338308,-0.475072139,2.028656296,0.198896999,0.366163388,0.192893617,0.375182503,0.039560016,0.134075627,0.037207948,0.140761911,1.121,1.824,0.949,1.843001636,-0.043,-1.324,-0.102,3.288055961,-1.164,-3.148,-1.051,1.445054324,1.776983658,1.913769872,2.134906365,0.184941384,0.662705806,1.885239456,0.512739198,2.063057991,275.2974719,252.2810104,1622.374803,22.5,2.956564677,0,0,0,34,176.549952,1428.759378,105.686397,1710.995727,815.5198308,676446.4343,1069.320057,7056.596036,4124.205953,151.968612,3.691990103,2.229952769,3.845643704,0.584446939,7056.596036,4124.205953,104.4776119,0.125476606,0.368864949,14,402,gait_slow
-0.649724512,-1.929032538,-0.491308026,2.127277377,0.282083794,0.509101025,0.329230669,0.553652386,0.079571267,0.259183854,0.108392834,0.306530965,1.625,2.347,1.707,2.587366547,0.25,-1.219,0.043,3.875596728,-1.375,-3.566,-1.664,1.288230181,1.664186889,2.041836673,2.429198427,0.260263373,0.708317166,1.995081549,0.59141898,2.198144673,423.9996161,499.4482859,4275.215638,20.15564437,3.076950108,8,0,12,43,231.289789,1834.941528,161.246925,2227.478242,980.6748709,994294.1702,2221.653916,26369.55677,4847.750594,1141.798881,4.695291758,3.163828812,4.84678797,0.183838911,26369.55677,4847.750594,110.6290672,0.098488578,0.155290478,14,461,gait_normal
-0.723673289,-2.011534216,-0.466986755,2.226924479,0.382400388,0.599340367,0.357268686,0.679659307,0.146230057,0.359208876,0.127640914,0.461936774,2.062,2.902,1.547,3.280468474,0.281,-1.051,0.219,4.436998197,-1.781,-3.953,-1.328,1.156529723,1.621444726,2.142583487,2.68401807,0.305200878,0.818494402,2.098923243,0.587977502,2.328331894,516.0062307,478.6830465,3378.989309,30.20761493,3.218476821,8,0,25,38,303.479688,1995.681887,156.610047,2455.771622,1008.796789,1065067.47,2253.858415,40025.43744,5282.479662,1304.721565,4.864619929,2.933957928,4.420199971,0.131978062,40025.43744,5282.479662,119.205298,0.098697398,0.116590653,16,453,gait_fast
-0.621281596,-1.93208204,-0.329008869,2.067211742,0.173805465,0.289638914,0.174234684,0.313482132,0.03020834,0.083890701,0.030357725,0.098271047,0.809,1.543,0.84,1.607023069,-0.246,-1.344,0.09,3.052215097,-1.055,-2.887,-0.75,1.445192029,1.85944427,2.044740815,2.209813275,0.151644907,0.645134995,1.953671341,0.372296335,2.090845626,158.4662535,131.6535448,880.3159944,12.74754878,2.88686031,0,0,12,41,187.705822,1721.391101,62.510657,1971.60758,932.3124955,879200.799,297.6203914,8755.396628,1022.990028,109.1032732,3.354396706,1.652400016,3.416387013,0.116841083,8755.396628,1022.990028,139.6895787,0.070256672,0.104617465,16,451,gait_slow
-0.630895377,-1.902885645,-0.309445255,2.046935236,0.186345064,0.398986513,0.260735678,0.432103081,0.034724483,0.159190238,0.067983094,0.186713073,1.086,1.778,1.141,1.963567858,-0.301,-1.148,0.145,3.322018814,-1.387,-2.926,-0.996,1.358450956,1.646803327,1.9718149,2.397044479,0.211097583,0.657839996,1.944264389,0.404647328,2.092046112,227.1033938,196.9898682,1610.211554,20.31009601,2.854676399,0,0,23,25,177.861672,1553.64741,67.296918,1798.806,841.2903821,723539.143,362.9815056,14559.89906,850.117208,98.61487683,3.54352758,2.014537182,4.08137021,0.058387576,14559.89906,850.117208,94.89051095,0.080346472,0.055166535,18,411,gait_normal
-0.697023555,-2.100006424,-0.322342612,2.291534796,0.394768695,0.633491408,0.392994563,0.678410102,0.155842323,0.401311364,0.154444726,0.460240267,1.75,2.45,1.719,2.815762376,-0.031,-1.109,0.293,3.937490952,-1.781,-3.559,-1.426,1.121728577,1.735788905,2.109497808,2.937282196,0.296050535,0.801051907,2.193476315,0.508280913,2.389847692,370.7736355,293.8231536,2086.361965,32.5,3.17264454,0,0,32,33,299.666502,2246.895007,120.64921,2667.210719,1070.14675,1195400.727,1442.95813,45756.22944,3471.05307,480.7511912,4.187053328,2.36556944,4.143420102,0.075859683,45756.22944,3471.05307,109.2077088,0.110729118,0.070510759,18,467,gait_fast
-0.457168591,1.973570439,-0.527369515,2.154805547,0.296274608,0.506085585,0.279519998,0.401182938,0.087778644,0.256122619,0.078131429,0.16094775,1.765,2.636,1.664,2.197873916,0.441,3.238,0.199,3.279138454,-1.324,0.602,-1.465,1.081264537,1.917789874,2.174759987,2.462292225,0.186180576,0.544776802,2.037425556,0.596866848,2.191833638,550.6062389,402.4058089,2546.909892,21.50581317,2.97834873,26,0,12,47,128.506504,1797.427554,154.256265,2080.190323,933.0308019,885634.3439,1551.089043,10392.28295,3719.87266,844.614412,4.381821421,2.884858816,4.561787974,0.357945668,10392.28295,3719.87266,117.7829099,0.172608661,0.263593512,20,433,gait_slow
-0.483736607,2.294247768,-0.485247768,2.444228981,0.431375031,0.517493904,0.299798115,0.550042977,0.186084417,0.267799941,0.08987891,0.302547277,2.227,3.051,1.489,3.365920997,0.434,3.801,0.219,4.126308399,-1.793,0.75,-1.27,0.760387401,2.069599347,2.490646355,2.828277727,0.225037417,0.648140048,2.351887064,0.570389609,2.505354783,676.0052138,484.6545482,3446.801053,51.17372373,3.302058036,30,0,13,49,188.198314,2478.054997,145.754249,2812.00756,1095.014584,1229418.047,2281.761957,22403.14026,5606.839507,1374.314062,4.667903378,3.17725407,4.963033532,0.25027025,22403.14026,5606.839507,107.1428571,0.249992,0.200172922,18,448,gait_fast
